state,district,candidate,party,role,seat_status,endorsements,corporate_pac_money,aipac_money,stock_trading_notes,funds
NY,14,Alexandria Ocasio-Cortez,D,incumbent,,,,,,
NY,15,John Duffy,R,candidate,,,,,,
NY,15,Ritchie Torres,D,incumbent,,,,,,
NY,16,George Latimer,D,incumbent,,,,,,
NY,16,Jamaal Bowman,R,candidate,,,,,,
NY,17,Mike Lawler,R,incumbent,,,,,,
NY,18,Pat Ryan,R,candidate,,,,,,
NY,18,Pat Ryan,D,incumbent,,,,,,
NY,19,Josh Riley,D,incumbent,,,,,,
NY,19,Pat Costello,R,candidate,,,,,,
NY,2,Andrew Garbarino,R,incumbent,,,,,,
NY,2,Patrick Halpin,D,candidate,,,,,,
NY,20,Elise Stefanik,R,candidate,,,,,,
NY,20,Paul Tonko,D,incumbent,,,,,,
NY,21,Chris Deluzio,D,candidate,,,,,,
NY,21,Elise Stefanik,R,incumbent,,,,,,
NY,22,John Mannion,D,incumbent,,,,,,
NY,22,Marc Molinaro,R,candidate,,,,,,
NY,23,Lena Khan,D,candidate,,,,,,
NY,23,Nick Langworthy,R,incumbent,,,,,,
NY,24,Claudia Tenney,D,candidate,,,,,,
NY,24,Claudia Tenney,R,incumbent,,,,,,
NY,25,Joseph Morelle,D,incumbent,,,,,,
NY,25,Thomas Kearney,R,candidate,,,,,,
NY,26,Nick Langworthy,R,candidate,,,,,,
NY,26,Tim Kennedy,D,incumbent,,,,,,
NY,3,George Latimer,D,incumbent,,,,,,
NY,4,Jeanine Driscoll,R,candidate,,,,,,
NY,4,Laura Gillen,D,incumbent,,,,,,
NY,5,George Mars,R,candidate,,,,,,
NY,5,Gregory Meeks,D,incumbent,,,,,,
NY,6,Nydia Velázquez,D,incumbent,,,,,,
NY,7,Tom Suozzi,D,incumbent,,,,,,
NY,8,Hakeem Jeffries,D,incumbent,,,,,,
NY,8,Niels Kassem,R,candidate,,,,,,
NY,9,Demetrie Feddis,R,candidate,,,,,,
NY,9,Yvette Clarke,D,incumbent,,,,,,
OH,1,Eric Conroy,R,candidate,,,,,,
OH,1,Landsman,D,incumbent,,,,,,
OH,10,Turner Challenger,D,candidate,,,,,,
OH,11,Brown,D,incumbent,,,,,,
OH,11,Jerrod Brown,R,candidate,,,,,,
OH,12,Balderson,R,incumbent,,,,,,
OH,12,Troy Balderson,D,candidate,,,,,,
OH,13,Shawn Hawkins,R,candidate,,,,,,
OH,13,Sykes,D,incumbent,,,,,,
OH,14,David Joyce,D,candidate,,,,,,
OH,14,Joyce,R,incumbent,,,,,,
OH,15,Carey Challenger,D,candidate,,,,,,
OH,2,Jennifer Mazzuckelli,D,candidate,,,,,,
OH,2,Taylor,R,incumbent,,,,,,
OH,3,Beatty,D,incumbent,,,,,,
OH,3,Emilia Sykes,R,candidate,,,,,,
OH,4,Jim Jordan,D,candidate,,,,,,
OH,4,Jordan,R,incumbent,,,,,,
OH,5,Angela Rigas,D,candidate,,,,,,
OH,5,Latta,R,incumbent,,,,,,
OH,6,Bill Johnson,D,candidate,,,,,,
OH,6,Rulli,R,incumbent,,,,,,
OH,7,Democratic Incumbent/Nominee,D,candidate,,,,,,
OH,7,Democratic Incumbent/Nominee TBD,D,candidate,,,,,,
OH,7,Max Miller,R,incumbent,,,,,,
OH,8,Warren Davidson,R,incumbent,,,,,,
OH,9,Kaptur,D,incumbent,,,,,,
OH,9,Marcy Kaptur,R,candidate,,,,,,
OK,1,Hern Challenger,D,candidate,,,,,,
OK,2,Brecheen,R,incumbent,,,,,,
OK,2,Josh Brecheen,D,candidate,,,,,,
OK,3,Frank Lucas,D,candidate,,,,,,
OK,3,Lucas,R,incumbent,,,,,,
OK,4,Cole,R,incumbent,,,,,,
OK,4,Tom Cole,D,candidate,,,,,,
OK,5,Bice Challenger,D,candidate,,,,,,
OR,1,Bonamici,D,incumbent,,,,,,
OR,1,Peter DeFazio,R,candidate,,,,,,
OR,2,Cliff Bentz Challenger,D,candidate,,,,,,
OR,3,Dexter,D,incumbent,,,,,,
OR,3,Jamie McLeod-Skinner,R,candidate,,,,,,
OR,4,Hoyle,D,incumbent,,,,,,
OR,4,Peter DeFazio,R,candidate,,,,,,
OR,5,Bynum,D,incumbent,,,,,,
OR,5,Val Hoyle,R,candidate,,,,,,
PA,1,Brian Fitzpatrick,R,incumbent,,,,,,
PA,1,Democratic Challenger (Primary concluded),D,candidate,,,,,,
PA,1,Democratic Challenger TBD,D,candidate,,,,,,
PA,10,Dan Perry Challenger,D,candidate,,,,,,
PA,10,Republican Challenger (Primary concluded),R,candidate,,,,,,
PA,10,Scott Perry,R,incumbent,,,,,,
PA,11,Smucker,R,incumbent,,,,,,
PA,11,Spring Bash,D,candidate,,,,,,
PA,12,Lee,D,incumbent,,,,,,
PA,12,Scott Perry,R,candidate,,,,,,
PA,13,Brianna Brown,D,candidate,,,,,,
PA,13,Joyce,R,incumbent,,,,,,
PA,14,Mike Doyle,D,candidate,,,,,,
PA,14,Reschenthaler,R,incumbent,,,,,,
PA,15,John Carpinelli,D,candidate,,,,,,
PA,15,Thompson,R,incumbent,,,,,,
PA,16,Glenn Thompson,D,candidate,,,,,,
PA,16,Kelly,R,incumbent,,,,,,
PA,17,Deluzio,D,incumbent,,,,,,
PA,17,Kathy Boockvar,R,candidate,,,,,,
PA,2,Boyle,D,incumbent,,,,,,
PA,2,Jessica Arriaga,R,candidate,,,,,,
PA,3,Chris Rabb,R,candidate,,,,,,
PA,3,Evans,D,incumbent,,,,,,
PA,4,Aurora Stuski,R,candidate,,,,,,
PA,4,Dean,D,incumbent,,,,,,
PA,5,Nicholas Manganaro,R,candidate,,,,,,
PA,5,Scanlon,D,incumbent,,,,,,
PA,6,Houlahan,D,incumbent,,,,,,
PA,6,Marty Young,R,candidate,,,,,,
PA,7,Democratic Nominee (Primary concluded),D,candidate,,,,,,
PA,7,Democratic Nominee TBD,D,candidate,,,,,,
PA,7,Ryan Bresnahan,R,candidate,,,,,,
PA,8,Democratic Nominee (Primary concluded),D,candidate,,,,,,
PA,8,Rob Perry,R,candidate,,,,,,
PA,9,Chester Culotta,D,candidate,,,,,,
PA,9,Meuser,R,incumbent,,,,,,
RI,1,Gabe Amo Challenger,R,candidate,,,,,,
RI,2,Seth Magaziner Challenger,R,candidate,,,,,,
SC,1,Democratic Challenger (Primary concluded),D,candidate,,,,,,
SC,1,Nancy Mace,R,incumbent,,,,,,
SC,2,Democratic Challenger (Primary concluded),D,candidate,,,,,,
SC,2,Joe Wilson,R,incumbent,,,,,,
SC,3,Biggs,R,incumbent,,,,,,
SC,3,Jason Holley,D,candidate,,,,,,
SC,4,Timmons,R,incumbent,,,,,,
SC,4,William Timmons,D,candidate,,,,,,
SC,5,Norman,R,incumbent,,,,,,
SC,5,Sally Daneels,D,candidate,,,,,,
SC,6,Clyburn,D,incumbent,,,,,,
SC,6,Jim Clyburn,R,candidate,,,,,,
SC,7,Democratic Challenger (Primary concluded),D,candidate,,,,,,
SC,7,Russell Fry,R,incumbent,,,,,,
SD,0,Dusty Johnson,D,candidate,,,,,,
SD,0,Johnson,R,incumbent,,,,,,
TN,1,Diana Harshbarger,D,candidate,,,,,,
TN,1,Harshbarger,R,incumbent,,,,,,
TN,2,Burchett,R,incumbent,,,,,,
TN,2,Tim Burchett,D,candidate,,,,,,
TN,3,Chuck Fleischmann,D,candidate,,,,,,
TN,3,Fleischmann,R,incumbent,,,,,,
TN,4,DesJarlais,R,incumbent,,,,,,
TN,4,Scott DesJarlais,D,candidate,,,,,,
TN,5,Andy Ogles,R,incumbent,,,,,,
TN,5,Democratic Challenger (Primary concluded),D,candidate,,,,,,
TN,6,Democratic Challenger (Primary concluded),D,candidate,,,,,,
TN,6,Mark Green,R,incumbent,,,,,,
TN,7,David Kustoff,R,incumbent,,,,,,
TN,7,Democratic Challenger (Primary concluded),D,candidate,,,,,,
TN,8,David Cohen,D,candidate,,,,,,
TN,8,Republican Challenger (Primary concluded),R,candidate,,,,,,
TN,9,Ogles,R,incumbent,,,,,,
TN,9,Steve Cohen,D,candidate,,,,,,
TX,1,Nathaniel Moran,R,incumbent,,,,,,
TX,1,Yolanda Prince,D,candidate,,,,,,
TX,10,Blake Moore,D,candidate,,,,,,
TX,10,McCaul,R,incumbent,,,,,,
TX,11,August Pfluger,R,incumbent,,,,,,
TX,11,Morgan Harper,D,candidate,,,,,,
TX,12,Chelsey Hockett,D,candidate,,,,,,
TX,12,Craig Goldman,R,incumbent,,,,,,
TX,13,Jennifer Ramirez,D,candidate,,,,,,
TX,13,Ronny Jackson,R,incumbent,,,,,,
TX,14,Joey Paniagua,D,candidate,,,,,,
TX,14,Randy Weber,R,incumbent,,,,,,
TX,15,Monica de la Cruz,R,incumbent,,,,,,
TX,16,Alexander Hale,R,candidate,,,,,,
TX,16,Veronica Escobar,D,incumbent,,,,,,
TX,17,John Duffy,D,candidate,,,,,,
TX,17,Pete Sessions,R,incumbent,,,,,,
TX,18,Sylvester Turner,D,incumbent,,,,,,
TX,19,Arlington,R,incumbent,,,,,,
TX,19,Jasmine Crockett,D,candidate,,,,,,
TX,2,Crenshaw,R,incumbent,,,,,,
TX,2,Shaun Finnie,D,candidate,,,,,,
TX,20,Joaquin Castro,D,incumbent,,,,,,
TX,21,Gregg Moseley,D,candidate,,,,,,
TX,21,Roy,R,incumbent,,,,,,
TX,22,Nehls,R,incumbent,,,,,,
TX,22,Nick Lampson,D,candidate,,,,,,
TX,23,Tony Gonzales,R,incumbent_retiring,,,,,,
TX,24,Beth Van Duyne,R,incumbent,,,,,,
TX,24,Katy Padilla Stout,D,candidate,,,,,,
TX,25,Nick Lampson,D,candidate,,,,,,
TX,25,Roger Williams,R,incumbent,,,,,,
TX,26,Brandon Gill,R,incumbent,,,,,,
TX,26,Colin Allred,D,candidate,,,,,,
TX,27,Michael Cloud,R,incumbent,,,,,,
TX,27,Mike Siegel,D,candidate,,,,,,
TX,28,Henry Cuellar,D,incumbent,,,,,,
TX,29,Melissa Mitchell,R,candidate,,,,,,
TX,29,Sylvia Garcia,D,incumbent,,,,,,
TX,3,Van Duyne Challenger,D,candidate,,,,,,
TX,30,Crockett,D,incumbent,,,,,,
TX,30,Sylvia Garcia,R,candidate,,,,,,
TX,31,John Carter,R,incumbent,,,,,,
TX,31,Stephen Woodworth,D,candidate,,,,,,
TX,32,Jake Ellzey,R,candidate,,,,,,
TX,32,Johnson,D,incumbent,,,,,,
TX,33,Katherine Clark,R,candidate,,,,,,
TX,33,Veasey,D,incumbent,,,,,,
TX,34,Vicente Gonzalez,D,incumbent,,,,,,
TX,35,Greg Casar,D,incumbent_retiring,,,,,,
TX,36,Brian Babin,R,incumbent,,,,,,
TX,36,Carlos De La Cruz,D,candidate,,,,,,
TX,37,Lloyd Doggett,D,incumbent,,,,,,
TX,37,Nick Lampson,R,candidate,,,,,,
TX,38,Hunt,R,incumbent,,,,,,
TX,38,Marc Veasey,D,candidate,,,,,,
TX,4,Jason Pearce,D,candidate,,,,,,
TX,4,Pat Fallon,R,incumbent,,,,,,
TX,5,Chelsey Hockett,D,candidate,,,,,,
TX,5,Lance Gooden,R,incumbent,,,,,,
TX,6,Jake Ellzey,R,incumbent,,,,,,
TX,6,Yolanda Prince,D,candidate,,,,,,
TX,7,Lizzie Fletcher,D,incumbent,,,,,,
TX,8,Andy Ogles,D,candidate,,,,,,
TX,8,Luttrell,R,incumbent,,,,,,
TX,9,Alex Mealer,R,candidate,,,,,,
TX,9,Green,D,incumbent,,,,,,
UT,1,Blake Moore Challenger,D,candidate,,,,,,
UT,2,Chris Stewart,D,candidate,,,,,,
UT,2,Maloy,R,incumbent,,,,,,
UT,3,John Curtis,D,candidate,,,,,,
UT,3,Kennedy,R,incumbent,,,,,,
UT,4,Blake Moore,D,candidate,,,,,,
UT,4,Owens,R,incumbent,,,,,,
VA,1,Democratic Challenger (Primary concluded),D,candidate,,,,,,
VA,1,Democratic Challenger TBD,D,candidate,,,,,,
VA,1,Rob Wittman,R,incumbent,,,,,,
VA,10,Jennifer Wexton,R,candidate,,,,,,
VA,10,Subramanyam,D,incumbent,,,,,,
VA,11,Jennifer Wexton challenger,R,candidate,,,,,,
VA,11,Representative,D,incumbent,,,,,,
VA,2,Democratic Challenger (Primary concluded),D,candidate,,,,,,
VA,2,Jen Kiggans,R,incumbent,,,,,,
VA,3,Nathaniel Cline,R,candidate,,,,,,
VA,3,Scott,D,incumbent,,,,,,
VA,4,Bob Good,R,candidate,,,,,,
VA,4,McClellan,D,incumbent,,,,,,
VA,5,Bob Good,R,incumbent,,,,,,
VA,5,Democratic Challenger (Primary concluded),D,candidate,,,,,,
VA,5,Democratic Challenger TBD,D,candidate,,,,,,
VA,6,Ben Cline,D,candidate,,,,,,
VA,6,Cline,R,incumbent,,,,,,
VA,7,Jennifer Kiggans challenger,R,candidate,,,,,,
VA,7,Vindman,D,incumbent,,,,,,
VA,8,Beyer,D,incumbent,,,,,,
VA,8,Don Beyer,R,candidate,,,,,,
VA,9,Don Beyer,D,candidate,,,,,,
VA,9,Griffith,R,incumbent,,,,,,
VT,0,Becca Balint Challenger,R,candidate,,,,,,
WA,1,DelBene Challenger,R,candidate,,,,,,
WA,10,Strickland Challenger,R,candidate,,,,,,
WA,2,Larsen Challenger,R,candidate,,,,,,
WA,3,Marie Perez,D,incumbent,,,,,,
WA,3,Republican Challenger (Primary concluded),R,candidate,,,,,,
WA,4,Democratic Challenger (Primary concluded),D,candidate,,,,,,
WA,5,Democratic Challenger (Primary concluded),D,candidate,,,,,,
WA,6,Randall Challenger,R,candidate,,,,,,
WA,7,Jayapal Challenger,R,candidate,,,,,,
WA,8,Kim Schrier,R,candidate,,,,,,
WA,8,Schrier,D,incumbent,,,,,,
WA,9,Smith Challenger,R,candidate,,,,,,
WI,1,Bryan Steil,R,incumbent,,,,,,
WI,1,Democratic Challenger (Primary concluded),D,candidate,,,,,,
WI,2,Peter Theron,R,candidate,,,,,,
WI,2,Pocan,D,incumbent,,,,,,
WI,3,Democratic Challenger (Primary concluded),D,candidate,,,,,,
WI,3,Democratic Challenger TBD,D,candidate,,,,,,
WI,3,Derrick Van Orden,R,incumbent,,,,,,
WI,4,Gerry Pollet,R,candidate,,,,,,
WI,4,Moore,D,incumbent,,,,,,
WI,5,Derrick Van Orden,D,candidate,,,,,,
WI,5,Fitzgerald,R,incumbent,,,,,,
WI,6,Glenn Grothman,D,candidate,,,,,,
WI,6,Grothman,R,incumbent,,,,,,
WI,7,Tiffany,R,incumbent,,,,,,
WI,7,Tom Tiffany,D,candidate,,,,,,
WI,8,Tony Wied,D,candidate,,,,,,
WI,8,Wied,R,incumbent,,,,,,
WV,1,Miller Challenger,D,candidate,,,,,,
WV,2,Moore Challenger,D,candidate,,,,,,
WY,0,Hageman,R,incumbent,,,,,,
WY,0,Jeff Van Drew,D,candidate,,,,,,
